18:36:01.327154 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:02.963845 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:03.011281 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:03.075140 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:03.107107 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:03.234745 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:04.947232 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:05.026466 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:05.026682 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:05.136891 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:05.200250 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:06.898586 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:06.946186 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:06.977511 [TOOL -> EBC] HEX: 73  ASCII: s
18:36:07.072151 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:36:07.104335 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:07.279749 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:08.926192 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:09.021718 [TOOL -> EBC] HEX: 73  ASCII: s
18:36:09.037828 [EBC -> TOOL] HEX: 0D 0D 0A 3F 0D 0A  ASCII: ...?..
18:36:09.100774 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:09.148616 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:36:09.275906 [EBC -> TOOL] HEX: 65  ASCII: e
18:36:09.323766 [EBC -> TOOL] HEX: 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: tLogTime...30..
18:36:10.895743 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:10.927615 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:10.959898 [TOOL -> EBC] HEX: 73  ASCII: s
18:36:10.991844 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:11.103506 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:36:11.103637 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:11.279088 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 6D 0D 0D 0A 3F 0D 0A  ASCII: etLogTm...?..
18:36:12.913021 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:12.960710 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:13.040402 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:13.056247 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:13.199627 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:14.915775 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:14.964289 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:14.964499 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:15.027853 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:15.075353 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:16.918744 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:17.030309 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:17.046188 [TOOL -> EBC] HEX: 73  ASCII: s
18:36:17.173121 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:36:17.189292 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:17.380311 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:17.905315 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:17.937107 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:17.999995 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:18.969886 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:19.017974 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:19.081168 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:19.097251 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:19.193256 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:19.304055 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: etLogTime...30..
18:36:20.938246 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:20.985931 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:21.002204 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:21.002363 [TOOL -> EBC] HEX: 73  ASCII: s
18:36:21.160672 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:36:21.192512 [EBC -> TOOL] HEX: 73  ASCII: s
18:36:21.383567 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: etLogTime...30..
18:36:22.907389 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:22.987248 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:23.002857 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:23.066676 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:36:23.161711 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:24.907650 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:24.986981 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:25.049959 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:25.065889 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
